Quarter,Minute,Second,Down,ToGo,YardLine,SeriesFirstDown,Formation,YardLineDirection,OffenseTeam,DefenseTeam
3,12,18,2,6,30,1,UNDER CENTER,OWN,BAL,PIT
3,11,38,1,10,47,1,UNDER CENTER,OWN,BAL,PIT
3,10,6,1,10,20,0,SHOTGUN,OWN,PIT,BAL
3,9,38,2,3,27,1,NO HUDDLE SHOTGUN,OWN,PIT,BAL
3,9,8,1,10,30,1,NO HUDDLE SHOTGUN,OWN,PIT,BAL
3,8,35,1,10,41,0,NO HUDDLE SHOTGUN,OWN,PIT,BAL
3,7,35,3,4,47,0,NO HUDDLE SHOTGUN,OWN,PIT,BAL
3,7,24,1,10,20,1,SHOTGUN,OWN,BAL,PIT
3,6,37,2,3,40,0,SHOTGUN,OWN,BAL,PIT
3,6,4,1,10,43,1,SHOTGUN,OWN,BAL,PIT
3,3,13,2,12,28,0,SHOTGUN,OWN,PIT,BAL
3,3,8,3,12,28,0,SHOTGUN,OWN,PIT,BAL
3,2,32,1,20,22,0,SHOTGUN,OWN,BAL,PIT
3,2,28,2,20,22,0,SHOTGUN,OWN,BAL,PIT
3,1,27,3,6,36,1,SHOTGUN,OWN,BAL,PIT
4,11,42,1,10,25,1,SHOTGUN,OWN,PIT,BAL
4,11,9,1,10,40,0,NO HUDDLE SHOTGUN,OWN,PIT,BAL
4,11,7,2,10,40,0,SHOTGUN,OWN,PIT,BAL
4,10,28,3,5,45,0,NO HUDDLE SHOTGUN,OWN,PIT,BAL
4,9,58,1,10,14,0,SHOTGUN,OWN,BAL,PIT
4,8,49,3,1,23,1,UNDER CENTER,OWN,BAL,PIT
4,7,44,1,18,37,0,SHOTGUN,OWN,BAL,PIT
4,7,3,2,8,47,1,UNDER CENTER,OWN,BAL,PIT
4,3,37,1,10,30,0,SHOTGUN,OWN,PIT,BAL
4,3,31,2,10,30,0,NO HUDDLE SHOTGUN,OWN,PIT,BAL
4,3,26,3,10,30,1,NO HUDDLE SHOTGUN,OWN,PIT,BAL
4,1,52,1,10,16,0,SHOTGUN,OWN,PIT,BAL
4,1,14,3,10,16,0,NO HUDDLE SHOTGUN,OWN,PIT,BAL
4,1,8,4,10,16,0,NO HUDDLE SHOTGUN,OWN,PIT,BAL
1,15,0,1,10,25,1,UNDER CENTER,OWN,DEN,KC
1,11,33,1,10,25,0,SHOTGUN,OWN,KC,DEN
1,10,55,2,5,30,0,SHOTGUN,OWN,KC,DEN
1,8,20,1,10,55,1,SHOTGUN,OPP,KC,DEN
1,6,50,2,12,80,0,SHOTGUN,OPP,KC,DEN
1,5,1,3,11,24,0,SHOTGUN,OWN,DEN,KC
1,2,57,2,10,31,0,UNDER CENTER,OWN,DEN,KC
1,2,20,3,6,35,1,SHOTGUN,OWN,DEN,KC
2,15,0,2,5,16,1,SHOTGUN,OWN,KC,DEN
2,12,56,1,10,33,0,SHOTGUN,OWN,KC,DEN
2,8,48,1,10,35,1,UNDER CENTER,OWN,DEN,KC
2,5,14,1,10,36,0,SHOTGUN,OWN,KC,DEN
2,4,45,1,5,41,0,SHOTGUN,OWN,KC,DEN
2,4,12,1,10,36,1,SHOTGUN,OWN,KC,DEN
2,3,20,1,23,34,0,SHOTGUN,OWN,KC,DEN
2,2,32,3,20,37,0,SHOTGUN,OWN,KC,DEN
2,2,17,1,10,24,1,SHOTGUN,OWN,DEN,KC
2,2,0,1,10,36,1,SHOTGUN,OWN,DEN,KC
3,15,0,1,10,25,0,SHOTGUN,OWN,KC,DEN
3,14,56,2,10,25,0,SHOTGUN,OWN,KC,DEN
3,14,9,3,9,26,1,SHOTGUN,OWN,KC,DEN
3,9,25,1,10,32,0,SHOTGUN,OWN,DEN,KC
